score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,det er jo noen det er jo noen det er jo noen det er jo noen,,,"[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.42857142857142855, 0.5, 0.5, 0.3333333333333333, 0.6, 0.0]",3.0285714285714285,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",6,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,0.8771929824561403,1.6
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,upp sjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg h,,,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.25, 0.0, 0.0]",0.75,0.3,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",102,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,9.241379310344827,11.2
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,blåle blåle pren heller plain blåle blåle blåle blåle blåle,,,"[0.6666666666666666, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5]",5.083333333333333,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,"[0.6666666666666666, 1.3333333333333333, 0.6666666666666666, 0.4, 0.8571428571428571, 1.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",1.0
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje,,,"[0.5, 0.4, 0.6, 0.5, 0.5, 0.25, 0.6666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666]",4.816666666666666,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",1,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,1.046875,1.1
2,plystre kvern glorie klem bryter briller drue barn start løve,pristre kva? klo kram bt bl dv bl dv bl dv bl dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv,,,"[0.7142857142857143, 0.5, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.5, 0.5]",4.9642857142857135,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",102,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,5.278688524590164,11.2
2,plystre blokk horn søle svømme svart glorie garn blomst blå,priste doki um sjell sjell sjell sjell sjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell,,,"[0.42857142857142855, 0.25, 0.3333333333333333, 0.5, 0.6, 0.5, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333]",4.6119047619047615,1.0,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",102,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,10.915254237288135,11.2
2,bjørn artist søt terning løve horn glorie glad kikkert børste,jeg fikk det som laksen hva er det?,,,"[0.5, 0.6, 0.3333333333333333, 0.6, 0.5, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6, 0.4]",4.866666666666666,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-2,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,0.7377049180327869,1.0
2,barn flette drue skjema smart vindu tralle munn glorie horn,og,,,"[0.3333333333333333, 0.6, 0.5, 0.0, 0.25, 0.6, 0.6, 0.3333333333333333, 0.5, 0.3333333333333333]",4.05,0.9,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-9,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,0.9830508474576272,1.0
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,i går det kjedef plakke søre sømmer har du? det er at det st i anne ut ut ut ut,,,"[0.25, 0.0, 0.4, 0.5, 0.4, 0.0, 0.4, 0.5, 0.0, 0.5]",2.95,0.7,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",10,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,0.8421052631578947,2.0
2,kort korn klo klem kikkert blokk bart fortid fortau fort,gått gått gått gått gått kram sikket bryk batt førtet førtet førtet føtt,,,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.6, 0.5, 0.3333333333333333, 0.4, 0.25, 0.3333333333333333]",3.666666666666667,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",3,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,0.7678571428571429,1.3
