score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,sjekk,0.9122807017543859,1.0,0.17647058823529413,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",-9,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-medium
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,grønn,0.9137931034482759,0.9,0.26881720430107525,1.0,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-medium
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,klola tjener hylla pleiner bløyter lakse klola klatt,0.47540983606557374,1.0,0.3670886075949367,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-2,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,klype skjelten løve plemer krykke grå fester,0.453125,0.7,0.4050632911392405,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",-3,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,plystre kvern glorie klem bryter briller drue barn start løve,klem,0.9344262295081968,0.9,0.5072463768115942,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",-9,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,plystre blokk horn søle svømme svart glorie garn blomst blå,dukk horn sjel svenna svært ordet,0.6271186440677966,0.9,0.03896103896103896,0.3,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",-4,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,bjørn artist søt terning løve horn glorie glad kikkert børste,er det du som sier det,0.7868852459016393,1.0,0.25274725274725274,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-4,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,barn flette drue skjema smart vindu tralle munn glorie horn,barn,0.9322033898305084,0.9,0.3291139240506329,1.0,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-9,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,girf dekke søle sønne brud og tirsd hjerne hjutt og tis,0.43859649122807015,1.1,0.4044943820224719,1.0,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",1,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
2,kort korn klo klem kikkert blokk bart fortid fortau fort,arm brøkk føtt føttitt føtta føtt,0.6785714285714286,1.0,0.504950495049505,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",-4,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,flakk hjerne glem glade blå hvite fløt hjerte hjørne,0.3275862068965517,0.7,0.17647058823529413,0.7,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-1,words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,klabb fortau blod blod blod barn adilt ekorn fot vaskene,0.2807017543859649,0.7,0.26881720430107525,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",0,words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,fjorte tri klops lykke syskel sønn snill smart,0.4827586206896552,0.9,0.3670886075949367,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-2,words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,skjema svart plan trille plan tre plan,0.5333333333333333,0.7,0.4050632911392405,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-3,words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,løpe kulm klam skilpadde skilpadde pluss passer hjerne,0.36507936507936506,0.6,0.5072463768115942,1.0,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",-2,words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,garn horn hus barn fartøy dykke sky kvart skjære,0.21428571428571427,0.3,0.03896103896103896,0.3,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",-1,words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,pluss prins hjørne drue sky svart svømme ugle kvern sjakk,bluss prins bjørne drue sky svart svømme,0.3333333333333333,0.5,0.25274725274725274,1.0,"['d18', 'd17']","['d18', 'd18', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17']",-3,words_60_70.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,horn grønn glass karneval jus enhjørning dyne dykke drue sky,orn grønn glass karneval jus enhunding biene dukke røde ky,0.21666666666666667,0.6,0.3291139240506329,1.0,['d16'],"['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16']",0,words_70_80.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,svømme skjerf lys kurv plaster skjære skive sjakk prins hjørne,svømme sheriff lys gur plaster kjære kive kjøkk prins,0.27419354838709675,0.6,0.4044943820224719,1.0,"['d15', 'd16']","['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd15']",-1,words_80_90.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,horn korn fortau flagg drue smør skjorte turn grave grønn,korn fortell flagg drue smør storte tun,0.40350877192982454,0.6,0.504950495049505,1.0,"['d15', 'd14']","['d15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd14', 'd14']",-3,words_90_100.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,gris glør glitter glass hus frø krakk fregner brun bror,gris gløy glytte i glæs pus trø krakk fjærnøy bjun broi,0.2727272727272727,0.9,0.2631578947368421,1.0,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",1,words_100_110.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,bro blomst bart frakk drops kran krone søster smør skulder,bio blomst båt fjokk diops bjørn krone søster snøi skuldig,0.2413793103448276,0.7,0.34177215189873417,1.0,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",0,words_110_120.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,ugle trylle troll tre trapp tralle kropp skjerf plaster øre,ugle tille troll t tropp trolle kropp skjev plaster øye,0.15254237288135594,0.6,0.4117647058823529,1.0,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",0,words_120_130.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,lys kurv lytte plystre sjiraff skjære rund rød prins hus,lys lite plystige sjiaf kjære junijø prins,0.375,0.8,0.5064935064935064,1.0,"['d14', 'd13']","['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13']",-3,words_130_140.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,kjerne huske by børste drops søster sky kropp ugle turn,kjerne huske bi børste rops søster sky kropp ugle,0.12727272727272726,0.3,0.24719101123595505,1.0,['d13'],"['d13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13']",-1,words_140_150.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
3,syk kurv rød grå glorie horn koffert kikkert bror drue,syk kurv rød gro gror det orn koffert sikkert bror brure,0.16666666666666666,0.6,0.3670886075949367,1.0,"['d12', 'd13']","['d13', 'd13', 'd13', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12']",1,words_150_160.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-medium
