id,original_score,original_word,transcribed_word,original_cer,transcribed_cer,transcribed_score,file_name,CER Output
a06,1,hylle,hild,0.5,0.75,2,a06_hylle.wav,"CharacterOutput(references=[['h', 'i', 'l', 'd']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=3, hyp_start_idx=2, hyp_end_idx=3), AlignmentChunk(type='insert', ref_start_idx=3, ref_end_idx=3, hyp_start_idx=3, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.75, hits=2, substitutions=2, insertions=1, deletions=0)"
a12,5,hylle,i hylla,0.0,0.4285714285714285,3,a12_hylle.wav,"CharacterOutput(references=[['i', ' ', 'h', 'y', 'l', 'l', 'a']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='delete', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=0), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=6, hyp_start_idx=0, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=6, ref_end_idx=7, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.42857142857142855, hits=4, substitutions=1, insertions=0, deletions=2)"
a33,5,hylle,hylle,0.0,0.0,5,a33_hylle.wav,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d18,5,hylle,hylle,0.0,0.0,5,d18_hylle.wav,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a27,3,hylle,kylne,0.25,0.4,3,a27_hylle.wav,"CharacterOutput(references=[['k', 'y', 'l', 'n', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=3, hyp_start_idx=1, hyp_end_idx=3), AlignmentChunk(type='substitute', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=3, hyp_end_idx=4), AlignmentChunk(type='equal', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.4, hits=3, substitutions=2, insertions=0, deletions=0)"
d14,4,hylle,hylle,0.0,0.0,5,d14_hylle.wav,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a21,4,hylle,hele,0.0,0.5,3,a21_hylle.wav,"CharacterOutput(references=[['h', 'e', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='insert', ref_start_idx=1, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=2, hyp_end_idx=3), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=4, hyp_start_idx=3, hyp_end_idx=5)]], cer=0.5, hits=3, substitutions=1, insertions=1, deletions=0)"
a14,5,hylle,hylle,0.0,0.0,5,a14_hylle.wav,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d12,5,hylle,hylle,0.0,0.0,5,d12_hylle.wav,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d06,5,hylle,hylle,0.0,0.0,5,d06_hylle.wav,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
